County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
Miller County, Missouri, 29131, 24956, 38094, 12739, 120800, 7334, 4015, 3319
Mississippi County, Missouri, 29133, 14208, 28347, 5703, 67700, 3102, 1581, 1521
Moniteau County, Missouri, 29135, 15801, 47725, 6144, 116500, 4021, 2323, 1698
Monroe County, Missouri, 29137, 8680, 43138, 4810, 90800, 2610, 1277, 1333
Montgomery County, Missouri, 29139, 11939, 39830, 6142, 105900, 3527, 1834, 1693
Morgan County, Missouri, 29141, 20225, 33525, 15421, 109300, 5961, 2893, 3068
New Madrid County, Missouri, 29143, 18411, 33630, 8529, 73100, 4443, 2166, 2277
Newton County, Missouri, 29145, 58777, 43290, 24340, 111700, 15888, 8946, 6942
Nodaway County, Missouri, 29147, 23186, 35854, 9614, 114500, 4665, 2194, 2471
Oregon County, Missouri, 29149, 10979, 29851, 5438, 79400, 3290, 1620, 1670
Osage County, Missouri, 29151, 13758, 52693, 6559, 131900, 4222, 1928, 2294
Ozark County, Missouri, 29153, 9537, 31399, 5627, 86600, 3265, 1375, 1890
Pemiscot County, Missouri, 29155, 17837, 29238, 8115, 65200, 3743, 1849, 1894
Perry County, Missouri, 29157, 19100, 51499, 8605, 123400, 5816, 3123, 2693
Pettis County, Missouri, 29159, 42215, 39928, 18203, 101400, 10971, 6323, 4648
Phelps County, Missouri, 29161, 45029, 41618, 19714, 114500, 10180, 5689, 4491
Pike County, Missouri, 29163, 18517, 41750, 7829, 95000, 4748, 2353, 2395
Platte County, Missouri, 29165, 93394, 68254, 39876, 190300, 24272, 17663, 6609
Polk County, Missouri, 29167, 31107, 41130, 13331, 114600, 7866, 4651, 3215
Pulaski County, Missouri, 29169, 53443, 47931, 18382, 129800, 7508, 4585, 2923
Putnam County, Missouri, 29171, 4895, 36346, 2962, 82800, 1629, 788, 841
Ralls County, Missouri, 29173, 10243, 47345, 5137, 112100, 3231, 1835, 1396
Randolph County, Missouri, 29175, 25135, 37832, 10671, 85500, 6130, 3146, 2984
Ray County, Missouri, 29177, 23031, 52526, 9966, 120200, 6616, 3945, 2671
Reynolds County, Missouri, 29179, 6578, 35648, 4015, 85600, 2081, 893, 1188
Ripley County, Missouri, 29181, 13990, 32444, 6550, 80800, 4078, 1825, 2253
St. Charles County, Missouri, 29183, 374805, 72415, 145704, 188200, 110058, 82624, 27434
St. Clair County, Missouri, 29185, 9520, 32046, 5599, 79600, 3044, 1403, 1641
Ste. Genevieve County, Missouri, 29186, 17990, 47014, 8621, 131000, 5759, 3095, 2664
St. Francois County, Missouri, 29187, 66010, 39741, 29187, 103500, 16545, 9651, 6894
St. Louis County, Missouri, 29189, 1001327, 59755, 438076, 173400, 282099, 194507, 87592
Saline County, Missouri, 29195, 23334, 40101, 10083, 89700, 5993, 3349, 2644
Schuyler County, Missouri, 29197, 4395, 37500, 2087, 86000, 1274, 558, 716
Scotland County, Missouri, 29199, 4873, 39772, 2351, 75100, 1374, 700, 674
Scott County, Missouri, 29201, 39061, 39162, 16999, 94300, 10384, 5862, 4522
Shannon County, Missouri, 29203, 8317, 32404, 4126, 89400, 2546, 1081, 1465
Shelby County, Missouri, 29205, 6179, 39087, 3189, 72600, 1779, 787, 992
Stoddard County, Missouri, 29207, 29837, 38203, 13602, 90500, 8505, 4543, 3962
Stone County, Missouri, 29209, 31375, 40510, 20522, 153100, 10148, 5519, 4629
Sullivan County, Missouri, 29211, 6512, 40197, 3343, 78800, 1803, 829, 974
Taney County, Missouri, 29213, 53555, 38357, 29986, 121700, 12763, 7363, 5400
Texas County, Missouri, 29215, 25735, 35088, 11609, 99300, 6822, 3365, 3457
Vernon County, Missouri, 29217, 20878, 40693, 9477, 90800, 5412, 2704, 2708
Warren County, Missouri, 29219, 33043, 51133, 14893, 152800, 9451, 6296, 3155
Washington County, Missouri, 29221, 25048, 35305, 10897, 79700, 7146, 3476, 3670
Wayne County, Missouri, 29223, 13397, 33750, 8001, 70000, 4221, 1993, 2228
Webster County, Missouri, 29225, 36690, 44451, 14468, 118700, 9517, 6022, 3495
Worth County, Missouri, 29227, 2082, 45952, 1274, 57800, 672, 251, 421
Wright County, Missouri, 29229, 18449, 29778, 8628, 88200, 5094, 2353, 2741
St. Louis city, Missouri, 29510, 317850, 35599, 175591, 120400, 61266, 41209, 20057
Beaverhead County, Montana, 30001, 9291, 41512, 5259, 168800, 2605, 1186, 1419
Big Horn County, Montana, 30003, 13141, 41622, 4677, 88500, 2194, 694, 1500
Blaine County, Montana, 30005, 6598, 36744, 2819, 82500, 1396, 411, 985
Broadwater County, Montana, 30007, 5692, 50115, 2699, 184600, 1891, 1135, 756
Carbon County, Montana, 30009, 10268, 49767, 6473, 217500, 3412, 1799, 1613
Carter County, Montana, 30011, 1227, 45000, 796, 87500, 428, 110, 318
Cascade County, Montana, 30013, 82090, 45205, 37553, 162100, 21469, 12446, 9023
Chouteau County, Montana, 30015, 5855, 38521, 2869, 123800, 1381, 481, 900
Custer County, Montana, 30017, 11945, 48750, 5585, 137300, 3334, 1829, 1505
Daniels County, Montana, 30019, 1758, 49239, 1118, 112600, 669, 294, 375
Dawson County, Montana, 30021, 9365, 52738, 4317, 156500, 2755, 1245, 1510
Deer Lodge County, Montana, 30023, 9211, 39399, 5131, 130100, 2747, 1355, 1392
Fallon County, Montana, 30025, 3057, 53266, 1479, 143000, 863, 415, 448
Fergus County, Montana, 30027, 11468, 40881, 5825, 121700, 3439, 1704, 1735
Flathead County, Montana, 30029, 93333, 47851, 47283, 231500, 26318, 16110, 10208
Gallatin County, Montana, 30031, 95323, 55553, 43996, 271500, 23556, 15386, 8170
Garfield County, Montana, 30033, 1047, 39732, 835, 150000, 326, 82, 244
Glacier County, Montana, 30035, 13672, 29640, 5328, 91300, 2467, 750, 1717
Golden Valley County, Montana, 30037, 756, 40938, 456, 95000, 238, 63, 175
Granite County, Montana, 30039, 3168, 48512, 2809, 216300, 1063, 434, 629
Hill County, Montana, 30041, 16523, 44633, 7232, 128800, 4160, 2200, 1960
Jefferson County, Montana, 30043, 11502, 60842, 5047, 242300, 3756, 2231, 1525
Judith Basin County, Montana, 30045, 1997, 44602, 1327, 122000, 693, 291, 402
Lake County, Montana, 30047, 29157, 38732, 16613, 220200, 8325, 4397, 3928
Lewis and Clark County, Montana, 30049, 65357, 56197, 30554, 208600, 18558, 11562, 6996
Liberty County, Montana, 30051, 2369, 47768, 1125, 103800, 570, 220, 350
Lincoln County, Montana, 30053, 19337, 35275, 11498, 164400, 6789, 3278, 3511
McCone County, Montana, 30055, 1728, 40750, 1029, 112400, 603, 156, 447
Madison County, Montana, 30057, 7767, 46250, 6931, 237800, 2514, 1202, 1312
Meagher County, Montana, 30059, 1898, 41641, 1350, 139500, 552, 236, 316
Mineral County, Montana, 30061, 4238, 36031, 2457, 169600, 1134, 576, 558
Missoula County, Montana, 30063, 111966, 46164, 51056, 239700, 27228, 17003, 10225
Musselshell County, Montana, 30065, 4790, 39517, 2708, 133800, 1434, 696, 738
Park County, Montana, 30067, 15708, 43932, 9367, 216900, 5014, 2666, 2348
Petroleum County, Montana, 30069, 443, 43750, 309, 78600, 143, 49, 94
Phillips County, Montana, 30071, 4167, 36071, 2315, 121800, 1308, 435, 873
Pondera County, Montana, 30073, 6206, 42264, 2637, 111900, 1586, 711, 875
Powder River County, Montana, 30075, 1703, 46346, 1021, 107800, 526, 187, 339
Powell County, Montana, 30077, 6975, 40000, 3090, 119500, 1644, 677, 967
Prairie County, Montana, 30079, 1372, 42383, 673, 80900, 502, 133, 369
Ravalli County, Montana, 30081, 40823, 39480, 19566, 239000, 11576, 6849, 4727
Richland County, Montana, 30083, 11132, 65084, 4916, 179700, 2834, 1259, 1575
Roosevelt County, Montana, 30085, 11072, 32974, 4067, 102700, 1795, 541, 1254
Rosebud County, Montana, 30087, 9352, 51159, 4105, 127900, 2257, 1060, 1197
Sanders County, Montana, 30089, 11346, 32257, 6662, 180800, 3720, 1899, 1821
Sheridan County, Montana, 30091, 3630, 50664, 2107, 143700, 1242, 505, 737
Silver Bow County, Montana, 30093, 34549, 37749, 16776, 128100, 9789, 5306, 4483
Stillwater County, Montana, 30095, 9288, 58259, 4817, 202000, 3001, 1801, 1200
Sweet Grass County, Montana, 30097, 3633, 50588, 1995, 191800, 1024, 495, 529
Teton County, Montana, 30099, 6074, 46360, 2877, 143800, 1713, 814, 899
Toole County, Montana, 30101, 5150, 44804, 2338, 122600, 1191, 513, 678
Treasure County, Montana, 30103, 812, 41103, 437, 86100, 225, 55, 170
Valley County, Montana, 30105, 7577, 49141, 4843, 122000, 2248, 966, 1282
Wheatland County, Montana, 30107, 2115, 32723, 1343, 83300, 593, 215, 378
Wibaux County, Montana, 30109, 986, 38553, 558, 106100, 315, 102, 213
Yellowstone County, Montana, 30111, 153692, 52802, 65792, 192500, 41950, 27450, 14500
Adams County, Nebraska, 31001, 31442, 50635, 13618, 104300, 8804, 4531, 4273
Antelope County, Nebraska, 31003, 6486, 45609, 3261, 78100, 2133, 770, 1363
Arthur County, Nebraska, 31005, 448, 39375, 253, 100000, 106, 32, 74
Banner County, Nebraska, 31007, 820, 48897, 406, 122100, 228, 127, 101
Blaine County, Nebraska, 31009, 551, 48875, 341, 72500, 123, 34, 89
Boone County, Nebraska, 31011, 5373, 50306, 2637, 97700, 1753, 634, 1119
Box Butte County, Nebraska, 31013, 11310, 51691, 5448, 92000, 3182, 1674, 1508
Boyd County, Nebraska, 31015, 2039, 40224, 1370, 51700, 753, 207, 546
Brown County, Nebraska, 31017, 3078, 36078, 1855, 70500, 1047, 377, 670
Buffalo County, Nebraska, 31019, 47958, 53624, 19531, 151300, 11617, 7159, 4458
Burt County, Nebraska, 31021, 6647, 47429, 3461, 88700, 2226, 1037, 1189
Butler County, Nebraska, 31023, 8256, 51027, 4043, 100200, 2796, 1356, 1440
Cass County, Nebraska, 31025, 25360, 65619, 11225, 155900, 7880, 5488, 2392
Cedar County, Nebraska, 31027, 8675, 52250, 4136, 101400, 2917, 1210, 1707
Chase County, Nebraska, 31029, 3897, 52422, 1909, 91200, 1326, 580, 746
Cherry County, Nebraska, 31031, 5770, 48750, 3150, 114200, 1740, 880, 860
Cheyenne County, Nebraska, 31033, 10077, 53814, 4917, 113700, 3022, 1704, 1318
Clay County, Nebraska, 31035, 6382, 51470, 2984, 81100, 2031, 882, 1149
Colfax County, Nebraska, 31037, 10522, 51367, 4107, 88300, 2689, 1377, 1312
Cuming County, Nebraska, 31039, 9078, 50013, 4196, 102500, 2601, 1195, 1406
Custer County, Nebraska, 31041, 10802, 46468, 5566, 86700, 3453, 1661, 1792
Dakota County, Nebraska, 31043, 20798, 49786, 7727, 111400, 4760, 2870, 1890
Dawes County, Nebraska, 31045, 9136, 41038, 4226, 104600, 2383, 1243, 1140
Dawson County, Nebraska, 31047, 24069, 48329, 10139, 88800, 5928, 3197, 2731
Deuel County, Nebraska, 31049, 1946, 50962, 989, 69400, 617, 278, 339
Dixon County, Nebraska, 31051, 5866, 51223, 2681, 80900, 1751, 817, 934
Dodge County, Nebraska, 31053, 36725, 49068, 16606, 114000, 10059, 5698, 4361
Douglas County, Nebraska, 31055, 537655, 54659, 225046, 145900, 128781, 92339, 36442
Dundy County, Nebraska, 31057, 2015, 42500, 1130, 71900, 586, 188, 398
Fillmore County, Nebraska, 31059, 5697, 52316, 2914, 75700, 1868, 705, 1163
Franklin County, Nebraska, 31061, 3105, 45905, 1720, 59900, 1178, 399, 779
Frontier County, Nebraska, 31063, 2573, 49634, 1538, 87400, 804, 334, 470
Furnas County, Nebraska, 31065, 4887, 39934, 2712, 62300, 1604, 611, 993
Gage County, Nebraska, 31067, 21818, 50010, 10419, 108300, 6570, 3240, 3330
Garden County, Nebraska, 31069, 1823, 45845, 1322, 75000, 700, 271, 429
Garfield County, Nebraska, 31071, 1933, 43179, 1191, 89100, 685, 296, 389
Gosper County, Nebraska, 31073, 1976, 54375, 1251, 108500, 565, 283, 282
Grant County, Nebraska, 31075, 769, 44750, 418, 50800, 209, 49, 160
Greeley County, Nebraska, 31077, 2476, 42904, 1293, 59600, 806, 257, 549
Hall County, Nebraska, 31079, 60792, 49252, 23982, 122500, 13919, 8505, 5414
Hamilton County, Nebraska, 31081, 9100, 59311, 4028, 111600, 2919, 1683, 1236
Harlan County, Nebraska, 31083, 3458, 46766, 2390, 78200, 1224, 582, 642
Hayes County, Nebraska, 31085, 1084, 44500, 543, 73500, 324, 101, 223
Hitchcock County, Nebraska, 31087, 2879, 39231, 1753, 59100, 973, 330, 643
Holt County, Nebraska, 31089, 10398, 46728, 5210, 95600, 3271, 1613, 1658
Hooker County, Nebraska, 31091, 681, 37317, 440, 70000, 238, 62, 176
Howard County, Nebraska, 31093, 6347, 50030, 2994, 109200, 2007, 1105, 902
Jefferson County, Nebraska, 31095, 7433, 43008, 3902, 71000, 2552, 1121, 1431
Johnson County, Nebraska, 31097, 5167, 45429, 2150, 76800, 1389, 646, 743
Kearney County, Nebraska, 31099, 6549, 51934, 2922, 109900, 1883, 940, 943
Keith County, Nebraska, 31101, 8146, 41781, 5381, 99700, 2599, 1395, 1204
Keya Paha County, Nebraska, 31103, 711, 38625, 488, 74400, 243, 60, 183
Kimball County, Nebraska, 31105, 3720, 40242, 1933, 80100, 1020, 482, 538
Knox County, Nebraska, 31107, 8556, 45411, 4801, 81200, 2731, 1002, 1729
Lancaster County, Nebraska, 31109, 298080, 51830, 123773, 152900, 69852, 48753, 21099
Lincoln County, Nebraska, 31111, 35896, 50194, 16615, 114200, 9973, 5778, 4195
Logan County, Nebraska, 31113, 851, 48281, 415, 114300, 252, 142, 110
Loup County, Nebraska, 31115, 548, 55417, 442, 96300, 199, 70, 129
McPherson County, Nebraska, 31117, 433, 54306, 244, 133300, 128, 45, 83
Madison County, Nebraska, 31119, 35111, 50218, 15070, 118300, 9093, 5306, 3787
Merrick County, Nebraska, 31121, 7776, 51012, 3724, 85600, 2434, 1133, 1301
Morrill County, Nebraska, 31123, 4874, 45910, 2421, 80600, 1371, 748, 623
Nance County, Nebraska, 31125, 3639, 42500, 1824, 78400, 1172, 517, 655
Nemaha County, Nebraska, 31127, 7168, 49656, 3498, 102200, 2044, 993, 1051
Nuckolls County, Nebraska, 31129, 4391, 40488, 2444, 54500, 1530, 441, 1089
Otoe County, Nebraska, 31131, 15842, 50275, 7053, 115800, 4725, 2725, 2000
Pawnee County, Nebraska, 31133, 2726, 41161, 1593, 63800, 980, 325, 655
Perkins County, Nebraska, 31135, 2924, 55893, 1451, 97700, 960, 445, 515
Phelps County, Nebraska, 31137, 9216, 50404, 4197, 110000, 2684, 1503, 1181
Pierce County, Nebraska, 31139, 7184, 54482, 3224, 98500, 2255, 1074, 1181
Platte County, Nebraska, 31141, 32642, 56318, 13541, 125200, 9251, 5279, 3972
Polk County, Nebraska, 31143, 5271, 57312, 2723, 103400, 1684, 774, 910
Red Willow County, Nebraska, 31145, 10946, 42931, 5279, 86100, 3394, 1624, 1770
Richardson County, Nebraska, 31147, 8201, 42750, 4382, 72000, 2813, 1191, 1622
Rock County, Nebraska, 31149, 1401, 48456, 916, 70800, 518, 200, 318
Saline County, Nebraska, 31151, 14360, 51738, 5784, 95700, 3263, 1529, 1734
Sarpy County, Nebraska, 31153, 169192, 70543, 64886, 163800, 43241, 33529, 9712
Saunders County, Nebraska, 31155, 20913, 60854, 9331, 150600, 6303, 3710, 2593
Scotts Bluff County, Nebraska, 31157, 36684, 45992, 16354, 107700, 10103, 5949, 4154
Seward County, Nebraska, 31159, 16998, 59662, 6966, 147800, 4514, 2620, 1894
Sheridan County, Nebraska, 31161, 5294, 41985, 2919, 70200, 1602, 601, 1001
Sherman County, Nebraska, 31163, 3107, 46366, 1937, 86600, 1072, 480, 592
Sioux County, Nebraska, 31165, 1249, 41215, 800, 89600, 423, 174, 249
Stanton County, Nebraska, 31167, 6081, 53416, 2637, 103400, 1959, 1002, 957
Thayer County, Nebraska, 31169, 5182, 45741, 2723, 64700, 1855, 750, 1105
Thomas County, Nebraska, 31171, 675, 51000, 390, 84300, 217, 78, 139
Thurston County, Nebraska, 31173, 6946, 41266, 2396, 68600, 1288, 505, 783
Valley County, Nebraska, 31175, 4254, 44612, 2275, 84700, 1357, 605, 752
Washington County, Nebraska, 31177, 20257, 65370, 8372, 175800, 6361, 4310, 2051
Wayne County, Nebraska, 31179, 9425, 54159, 3811, 116100, 2155, 1049, 1106
Webster County, Nebraska, 31181, 3697, 40256, 1909, 77600, 1213, 487, 726
Wheeler County, Nebraska, 31183, 847, 46394, 563, 88100, 287, 80, 207
York County, Nebraska, 31185, 13825, 51802, 6276, 117600, 3850, 2059, 1791
Churchill County, Nevada, 32001, 24252, 47415, 10738, 151000, 5818, 3627, 2191
Clark County, Nevada, 32003, 2035572, 51575, 857131, 170400, 380425, 277536, 102889
Douglas County, Nevada, 32005, 47259, 58535, 23710, 272000, 13735, 8661, 5074
Elko County, Nevada, 32007, 51562, 71799, 20192, 184600, 12438, 7480, 4958
Esmeralda County, Nevada, 32009, 1141, 39271, 1003, 79800, 289, 97, 192
Eureka County, Nevada, 32011, 1669, 60250, 1121, 93100, 545, 184, 361
Humboldt County, Nevada, 32013, 17067, 65212, 7193, 159900, 4515, 2532, 1983
Lander County, Nevada, 32015, 5946, 78190, 2484, 109500, 1664, 630, 1034
Lincoln County, Nevada, 32017, 5194, 44866, 2671, 128900, 1277, 735, 542
Lyon County, Nevada, 32019, 51657, 47255, 22419, 131700, 13702, 8700, 5002
Mineral County, Nevada, 32021, 4566, 38923, 2714, 83800, 1272, 492, 780
Nye County, Nevada, 32023, 42625, 41712, 21903, 105900, 12287, 6525, 5762
Pershing County, Nevada, 32027, 6722, 45230, 2418, 105200, 1320, 635, 685
Storey County, Nevada, 32029, 3929, 64832, 1982, 177000, 1546, 1020, 526
Washoe County, Nevada, 32031, 435019, 52870, 186481, 213100, 94470, 66373, 28097
White Pine County, Nevada, 32033, 9974, 57122, 4453, 124900, 2386, 1067, 1319
Carson City, Nevada, 32510, 54482, 47668, 23470, 186000, 12104, 7553, 4551
Belknap County, New Hampshire, 33001, 60399, 62159, 37611, 219600, 18434, 11589, 6845
Carroll County, New Hampshire, 33003, 47513, 53306, 40127, 222300, 16861, 9317, 7544
Cheshire County, New Hampshire, 33005, 76430, 57782, 34905, 188800, 21732, 13888, 7844
Coos County, New Hampshire, 33007, 31870, 42312, 21284, 123500, 9943, 4993, 4950
Grafton County, New Hampshire, 33009, 89341, 55762, 51590, 211500, 23902, 13683, 10219
Hillsborough County, New Hampshire, 33011, 403972, 71244, 167207, 245700, 103496, 76239, 27257
Merrimack County, New Hampshire, 33013, 147262, 65983, 63653, 225200, 40881, 27741, 13140
Rockingham County, New Hampshire, 33015, 299006, 81198, 127994, 282500, 90387, 65336, 25051
Strafford County, New Hampshire, 33017, 125273, 60711, 52237, 216500, 30600, 20146, 10454
Sullivan County, New Hampshire, 33019, 43135, 56032, 22342, 171000, 12939, 8452, 4487
Atlantic County, New Jersey, 34001, 275376, 54461, 127435, 225600, 68194, 46495, 21699
Bergen County, New Jersey, 34003, 926330, 85806, 353978, 441100, 217504, 144789, 72715
Burlington County, New Jersey, 34005, 450556, 78621, 177058, 245000, 125905, 90932, 34973
Camden County, New Jersey, 34007, 511998, 62185, 205768, 196800, 125702, 88421, 37281
Cape May County, New Jersey, 34009, 95805, 57637, 98747, 299700, 30683, 18970, 11713
Cumberland County, New Jersey, 34011, 157035, 49984, 56216, 162400, 33402, 21107, 12295
Essex County, New Jersey, 34013, 791609, 53976, 313824, 356600, 123847, 90262, 33585
Gloucester County, New Jersey, 34015, 290298, 76727, 111445, 214500, 82968, 59074, 23894
Hudson County, New Jersey, 34017, 662619, 59741, 274423, 335300, 78089, 54615, 23474
Hunterdon County, New Jersey, 34019, 126250, 105444, 49816, 390900, 39142, 28457, 10685
Mercer County, New Jersey, 34021, 370212, 72804, 143833, 276500, 84045, 59329, 24716
Middlesex County, New Jersey, 34023, 830300, 79593, 297940, 323300, 181312, 124301, 57011
Monmouth County, New Jersey, 34025, 629185, 85242, 259823, 385100, 173378, 121506, 51872
Morris County, New Jersey, 34027, 498192, 100214, 190765, 423400, 135442, 96821, 38621
Ocean County, New Jersey, 34029, 583450, 61994, 279989, 262700, 178850, 112034, 66816
Passaic County, New Jersey, 34031, 507574, 59739, 176433, 336100, 86688, 59902, 26786
Salem County, New Jersey, 34033, 65120, 61831, 27619, 187800, 17638, 10798, 6840
Somerset County, New Jersey, 34035, 330604, 100667, 124672, 399000, 88277, 62527, 25750
Sussex County, New Jersey, 34037, 145930, 86565, 62184, 270600, 44938, 33532, 11406
Union County, New Jersey, 34039, 548744, 69594, 200708, 345500, 109992, 76793, 33199
Warren County, New Jersey, 34041, 107226, 70471, 45266, 255300, 30111, 21608, 8503
Bernalillo County, New Mexico, 35001, 673943, 47725, 287054, 185500, 163821, 111542, 52279
Catron County, New Mexico, 35003, 3583, 42973, 3785, 166000, 1285, 295, 990
Chaves County, New Mexico, 35005, 65811, 40630, 26709, 99700, 15611, 7949, 7662
Cibola County, New Mexico, 35006, 27382, 34565, 11088, 88200, 6328, 2227, 4101
Colfax County, New Mexico, 35007, 12997, 32380, 10067, 117700, 3871, 1645, 2226
Curry County, New Mexico, 35009, 50497, 41084, 20574, 125600, 10601, 6216, 4385
De Baca County, New Mexico, 35011, 2020, 32500, 967, 67000, 415, 130, 285
Do?a Ana County, New Mexico, 35013, 213963, 38853, 83586, 138100, 48445, 27080, 21365
Eddy County, New Mexico, 35015, 55641, 56618, 23166, 124800, 15057, 8370, 6687
Grant County, New Mexico, 35017, 29119, 38311, 14644, 132800, 9005, 4093, 4912
Guadalupe County, New Mexico, 35019, 4526, 30772, 2261, 82200, 863, 344, 519
Harding County, New Mexico, 35021, 565, 33393, 512, 65500, 157, 16, 141
Hidalgo County, New Mexico, 35023, 4643, 34444, 2383, 78200, 1243, 388, 855
Lea County, New Mexico, 35025, 68149, 57533, 25117, 108600, 14898, 7138, 7760
Lincoln County, New Mexico, 35027, 19931, 40708, 17636, 161900, 6696, 3399, 3297
Los Alamos County, New Mexico, 35028, 17939, 101934, 8313, 274200, 5649, 3711, 1938
Luna County, New Mexico, 35029, 24789, 27476, 10972, 81900, 6097, 2294, 3803
McKinley County, New Mexico, 35031, 73998, 28772, 25780, 68300, 13490, 3610, 9880
Mora County, New Mexico, 35033, 4660, 23822, 3247, 84300, 1324, 281, 1043
Otero County, New Mexico, 35035, 65318, 39775, 30967, 101800, 15218, 7745, 7473
Quay County, New Mexico, 35037, 8698, 29113, 5551, 76300, 2380, 841, 1539
Rio Arriba County, New Mexico, 35039, 39949, 36098, 19564, 155900, 10661, 3935, 6726
Roosevelt County, New Mexico, 35041, 19908, 35546, 8294, 118500, 4170, 2198, 1972
Sandoval County, New Mexico, 35043, 136638, 58982, 53675, 177400, 38853, 27179, 11674
San Juan County, New Mexico, 35045, 125133, 48671, 49562, 145400, 29820, 14496, 15324
San Miguel County, New Mexico, 35047, 28668, 29237, 15558, 121200, 7783, 3077, 4706
Santa Fe County, New Mexico, 35049, 147108, 54315, 71673, 275200, 42266, 26232, 16034
Sierra County, New Mexico, 35051, 11615, 29356, 8304, 98800, 3644, 1357, 2287
Socorro County, New Mexico, 35053, 17494, 34037, 8010, 117800, 3597, 1179, 2418
Taos County, New Mexico, 35055, 32943, 36582, 20316, 216200, 9534, 4088, 5446
Torrance County, New Mexico, 35057, 15853, 32083, 7769, 106400, 4475, 2387, 2088
Union County, New Mexico, 35059, 4339, 36070, 2299, 87400, 1009, 454, 555
Valencia County, New Mexico, 35061, 76297, 41703, 30162, 131900, 21410, 12851, 8559
Albany County, New York, 36001, 307463, 59887, 138081, 208400, 72000, 46107, 25893
Allegany County, New York, 36003, 48070, 42776, 26024, 70300, 13373, 6630, 6743
Bronx County, New York, 36005, 1428357, 34299, 520329, 363400, 91993, 56636, 35357
Broome County, New York, 36007, 198093, 46261, 90026, 109900, 51992, 29109, 22883
Cattaraugus County, New York, 36009, 78962, 42601, 41034, 84600, 22560, 11460, 11100
Cayuga County, New York, 36011, 79173, 52082, 36405, 113600, 22028, 13054, 8974
Chautauqua County, New York, 36013, 132646, 42993, 66741, 84500, 37284, 20026, 17258
Chemung County, New York, 36015, 88267, 50320, 38382, 100400, 24286, 14605, 9681
Chenango County, New York, 36017, 49549, 45668, 24742, 91700, 14785, 7453, 7332
Clinton County, New York, 36019, 81685, 49930, 35918, 124200, 21713, 11935, 9778
Columbia County, New York, 36021, 62195, 59105, 32802, 222100, 18141, 10581, 7560
Cortland County, New York, 36023, 49043, 49514, 20527, 108200, 11788, 6570, 5218
Delaware County, New York, 36025, 46901, 43720, 31202, 132400, 14000, 6767, 7233
Dutchess County, New York, 36027, 296928, 71904, 118996, 275600, 73727, 51302, 22425
Erie County, New York, 36029, 921584, 51247, 420782, 130000, 248889, 155357, 93532
Essex County, New York, 36031, 38912, 52758, 25678, 145100, 11275, 5701, 5574
Franklin County, New York, 36033, 51280, 47923, 25293, 101600, 13927, 7016, 6911
Fulton County, New York, 36035, 54606, 46969, 28617, 108200, 15684, 8536, 7148
Genesee County, New York, 36037, 59458, 50880, 25636, 107000, 17467, 10562, 6905
Greene County, New York, 36039, 48312, 50278, 29276, 177700, 13261, 7541, 5720
Hamilton County, New York, 36041, 4760, 48243, 8757, 162600, 1177, 470, 707
Herkimer County, New York, 36043, 64034, 46229, 33345, 96100, 18556, 9673, 8883
Jefferson County, New York, 36045, 118947, 49505, 58536, 141000, 24610, 15095, 9515
Kings County, New York, 36047, 2595259, 48201, 1017282, 570200, 272717, 172271, 100446
Lewis County, New York, 36049, 27124, 49819, 15249, 117300, 8066, 4146, 3920
Livingston County, New York, 36051, 64801, 51734, 27249, 121200, 17624, 10767, 6857
Madison County, New York, 36053, 72427, 54145, 31742, 124900, 19755, 12165, 7590
Monroe County, New York, 36055, 749356, 52553, 323313, 138600, 192326, 130223, 62103
Montgomery County, New York, 36057, 49779, 43764, 23184, 101600, 13109, 7085, 6024
Nassau County, New York, 36059, 1354612, 99465, 467256, 446400, 353777, 231114, 122663
New York County, New York, 36061, 1629507, 72871, 862289, 848700, 172079, 91782, 80297
Niagara County, New York, 36063, 214150, 49449, 99170, 108000, 62294, 36551, 25743
Oneida County, New York, 36065, 233558, 48246, 104006, 114000, 59675, 34273, 25402
Onondaga County, New York, 36067, 468304, 55092, 203956, 135900, 120529, 79234, 41295
Ontario County, New York, 36069, 109192, 57416, 49418, 145700, 32228, 20921, 11307
Orange County, New York, 36071, 375384, 70848, 139103, 262500, 86184, 61469, 24715
Orleans County, New York, 36073, 42204, 46359, 18498, 91300, 12112, 7415, 4697
Oswego County, New York, 36075, 121183, 47860, 53656, 94800, 32675, 19565, 13110
Otsego County, New York, 36077, 61399, 48588, 30665, 142800, 17352, 9249, 8103
Putnam County, New York, 36079, 99488, 96148, 38289, 354900, 27946, 20098, 7848
Queens County, New York, 36081, 2301139, 57720, 844189, 450300, 340561, 208490, 132071
Rensselaer County, New York, 36083, 159900, 60709, 71742, 179100, 41240, 27830, 13410
Richmond County, New York, 36085, 472481, 73197, 178136, 439500, 114000, 80370, 33630
Rockland County, New York, 36087, 320688, 84855, 104442, 419100, 68107, 47935, 20172
St. Lawrence County, New York, 36089, 112011, 44705, 52203, 87600, 29600, 15701, 13899
Saratoga County, New York, 36091, 223774, 71496, 100953, 232900, 64423, 43151, 21272
Schenectady County, New York, 36093, 154796, 58114, 68171, 165800, 37747, 24949, 12798
Schoharie County, New York, 36095, 31913, 51195, 17201, 147000, 9512, 5407, 4105
